Corte,Categoria,Capital
01/07/2026,Bronce,6726321
30/06/2026,Bronce,6718649
02/07/2026,Bronce,6503444
15/06/2026,Bronce,6221000
16/06/2026,Bronce,5985500
03/07/2026,Bronce,5957336
02/06/2026,Bronce,5866500
29/06/2026,Bronce,5819627
17/06/2026,Bronce,5811000
18/06/2026,Bronce,5311994
01/06/2026,Bronce,5157000
03/06/2026,Bronce,4486000
19/06/2026,Bronce,4390311
04/07/2026,Bronce,4388961
23/06/2026,Bronce,4269690
17/06/2026,Oro,4237000
26/06/2026,Bronce,4102188
13/06/2026,Bronce,4096500
27/06/2026,Bronce,4067908
24/06/2026,Bronce,4052736
25/06/2026,Bronce,4044556
02/06/2026,Oro,4006500
20/06/2026,Bronce,3907907
16/06/2026,Oro,3890500
01/06/2026,Oro,3877500
04/06/2026,Bronce,3819500
12/06/2026,Bronce,3610500
15/06/2026,Oro,3563000
18/06/2026,Oro,3556288
17/06/2026,Plata,3437000
30/06/2026,Oro,3419564
08/06/2026,Bronce,3391500
16/06/2026,Junior,3382000
02/06/2026,Plata,3358000
01/07/2026,Oro,3335155
10/06/2026,Bronce,3323500
03/06/2026,Oro,3320500
09/06/2026,Bronce,3314500
02/07/2026,Oro,3308826
15/06/2026,Plata,3278500
03/07/2026,Oro,3250259
11/06/2026,Bronce,3244500
05/06/2026,Bronce,3224500
22/06/2026,Bronce,3184804
17/06/2026,Junior,3182000
30/06/2026,Junior,3141000
01/06/2026,Junior,3134000
16/06/2026,Plata,3130000
15/06/2026,Junior,3110500
02/06/2026,Junior,3099000
02/07/2026,Junior,3062000
18/06/2026,Plata,3002249
01/07/2026,Plata,2956134
19/06/2026,Oro,2949607
16/06/2026,Diamante,2868000
01/06/2026,Plata,2857500
01/07/2026,Junior,2841000
03/06/2026,Plata,2768500
17/06/2026,Platino,2738000
02/07/2026,Plata,2722112
03/07/2026,Plata,2628491
03/06/2026,Junior,2580500
06/06/2026,Bronce,2571500
16/06/2026,Platino,2552000
03/07/2026,Junior,2521500
30/06/2026,Diamante,2507709
02/06/2026,Diamante,2504500
19/06/2026,Plata,2468569
30/06/2026,Plata,2418978
18/06/2026,Junior,2415000
15/06/2026,Diamante,2384000
17/06/2026,Diamante,2360500
02/06/2026,Platino,2338500
01/06/2026,Platino,2308500
04/07/2026,Oro,2282807
01/06/2026,Diamante,2217500
18/06/2026,Platino,2143090
03/06/2026,Platino,2124500
04/06/2026,Plata,2123000
04/06/2026,Oro,2109500
10/06/2026,Oro,2104000
13/06/2026,Oro,2100500
02/07/2026,Platino,2098255
29/06/2026,Plata,2097120
15/06/2026,Platino,2056500
01/07/2026,Diamante,2044743
29/06/2026,Junior,2043000
01/07/2026,Platino,2038248
03/07/2026,Platino,1992853
08/06/2026,Oro,1984000
20/06/2026,Oro,1964938
18/06/2026,Diamante,1960626
29/06/2026,Oro,1953626
23/06/2026,Oro,1902363
19/06/2026,Diamante,1900954
13/06/2026,Plata,1880500
04/06/2026,Junior,1880000
04/07/2026,Plata,1877264
19/06/2026,Junior,1831000
03/07/2026,Diamante,1826636
30/06/2026,Platino,1824532
12/06/2026,Oro,1791500
09/06/2026,Oro,1774500
03/06/2026,Diamante,1765500
02/07/2026,Diamante,1743551
05/06/2026,Oro,1733500
13/06/2026,Junior,1719000
04/07/2026,Junior,1706500
09/06/2026,Plata,1702000
05/06/2026,Plata,1682000
20/06/2026,Plata,1666489
05/06/2026,Junior,1645500
23/06/2026,Plata,1624556
19/06/2026,Platino,1596202
04/07/2026,Platino,1580768
11/06/2026,Oro,1573500
12/06/2026,Junior,1558500
24/06/2026,Oro,1556189
27/06/2026,Junior,1542000
24/06/2026,Junior,1526000
27/06/2026,Oro,1510622
08/06/2026,Plata,1499000
20/06/2026,Junior,1495500
