Date,Marca,Subdirección,Zona,Sucursal,Total dispersado,Monto Financiero,Monto PP,Canjes,Prestamos Personales,Canje Promedio,PP Promedio
17/06/2026,Vale Amigo,Noreste,Tampico,Tampico Centro,582000,477000,105000,60,3,7950,35000
15/06/2026,Vale Amigo,Chihuahua,Chihuahua Norte,Cd. Juárez,537500,449500,88000,60,5,7491.67,17600
02/06/2026,Vale Amigo,Noreste,Tampico,Tampico Centro,522500,448500,74000,60,4,7475,18500
30/06/2026,Vale Amigo,Chihuahua,Chihuahua Norte,Cd. Juárez,508012,430012,78000,55,4,7818.4,19500
16/06/2026,Vale Amigo,Chihuahua,Chihuahua Norte,Cd. Juárez,481000,424000,57000,52,5,8153.85,11400
17/06/2026,Vale Amigo,Noreste,Tamaulipas,Tampico Norte,477000,369000,108000,47,6,7851.06,18000
01/06/2026,Vale Amigo,Sureste,Tabasco Norte,Cardenas,471000,343000,128000,49,8,7000,16000
15/06/2026,Vale Amigo,Noreste,Tampico,Tampico Centro,458500,298500,160000,39,7,7653.85,22857.14
01/06/2026,Vale Amigo,Noreste,Tampico,Tampico Centro,456000,324000,132000,43,8,7534.88,16500
17/06/2026,Vale Amigo,Bajio,Durango,Durango,454500,330500,124000,42,8,7869.05,15500
17/06/2026,Vale Amigo,Noreste,Tamaulipas,Altamira,449000,416000,33000,55,2,7563.64,16500
17/06/2026,Vale Amigo,Pacifico,La Paz 1,La Paz 2,444500,392500,52000,48,3,8177.08,17333.33
16/06/2026,Vale Amigo,Pacifico,La Paz 1,La Paz 2,437000,331000,106000,41,5,8073.17,21200
19/06/2026,Vale Amigo,Noreste,Tampico,Tampico Centro,432764,315764,117000,40,5,7894.1,23400
30/06/2026,Vale Amigo,Noreste,Coahuila Norte,Acuña,431633,236633,195000,33,9,7170.7,21666.67
16/06/2026,Vale Amigo,Bajio,Durango,Durango,431500,371500,60000,50,3,7430,20000
01/06/2026,Vale Amigo,Chihuahua,Chihuahua Norte,Cd. Juárez,423000,355000,68000,45,4,7888.89,17000
17/06/2026,Vale Amigo,Pacifico,La Paz 1,La Paz,422000,339000,83000,41,4,8268.29,20750
30/06/2026,Vale Amigo,Sureste,Veracruz Norte,Poza Rica,418903,373903,45000,47,3,7955.38,15000
16/06/2026,Vale Amigo,Noreste,Tampico,Tampico Centro,418000,358000,60000,45,3,7955.56,20000
03/07/2026,Vale Amigo,Noreste,Tampico,Tampico Centro,414500,414500,,55,,7536.36,
02/06/2026,Vale Amigo,Pacifico,Obregon,Obregón Centro 1,413000,337000,76000,45,5,7488.89,15200
16/06/2026,Vale Amigo,Sureste,Tabasco Norte,Cardenas,412000,309000,103000,46,6,6717.39,17166.67
02/07/2026,Vale Amigo,Noreste,Tampico,Tampico Centro,411000,370000,41000,39,3,9487.18,13666.67
01/06/2026,Vale Amigo,Pacifico,La Paz 1,La Paz,409000,357000,52000,40,2,8925,26000
01/07/2026,Vale Amigo,Chihuahua,Chihuahua Norte,Cd. Juárez,407708,399708,8000,53,1,7541.66,8000
16/06/2026,Vale Amigo,Pacifico,La Paz 1,La Paz,406500,327500,79000,39,5,8397.44,15800
01/06/2026,Vale Amigo,Noreste,Tamaulipas,Altamira,406000,281000,125000,38,6,7394.74,20833.33
02/06/2026,Vale Amigo,Noreste,Tamaulipas,Altamira,402500,358500,44000,44,2,8147.73,22000
02/06/2026,Vale Amigo,Noreste,Coahuila Norte,Acuña,397500,306500,91000,36,4,8513.89,22750
18/06/2026,Vale Amigo,Pacifico,La Paz 1,La Paz,396500,334500,62000,38,3,8802.63,20666.67
03/07/2026,Vale Amigo,Pacifico,La Paz 1,La Paz,394388,357388,37000,46,2,7769.3,18500
15/06/2026,Vale Amigo,Sureste,Veracruz Norte,Poza Rica,393500,319500,74000,45,5,7100,14800
17/06/2026,Vale Amigo,Pacifico,Obregon,Obregón Centro 1,392000,352000,40000,45,2,7822.22,20000
16/06/2026,Vale Amigo,Sureste,Veracruz Centro,Cordoba,390000,261000,129000,45,11,5800,11727.27
01/06/2026,Vale Amigo,Bajio,Durango,Durango,389500,313500,76000,42,5,7464.29,15200
16/06/2026,Viva Vale,Sureste,Veracruz Norte,Poza Rica 2,389500,319500,70000,43,4,7430.23,17500
03/07/2026,Vale Amigo,Pacifico,La Paz 1,La Paz 2,389144,312144,77000,41,3,7613.27,25666.67
03/06/2026,Vale Amigo,Pacifico,La Paz 1,La Paz 2,389000,302000,87000,37,3,8162.16,29000
16/06/2026,Vale Amigo,Pacifico,Los Cabos,Cabo San Lucas,387000,234000,153000,29,8,8068.97,19125
02/07/2026,Vale Amigo,Bajio,Durango,Durango,386000,351000,35000,49,3,7163.27,11666.67
18/06/2026,Vale Amigo,Noreste,Tamaulipas,Altamira,385500,283500,102000,36,6,7875,17000
02/06/2026,Vale Amigo,Sureste,Tabasco Norte,Cardenas,385000,342000,43000,50,3,6840,14333.33
02/06/2026,Vale Amigo,Pacifico,La Paz 1,La Paz 2,383000,273000,110000,36,6,7583.33,18333.33
02/06/2026,Vale Amigo,Noreste,Tamaulipas,Tampico Norte,381500,294500,87000,38,4,7750,21750
17/06/2026,Vale Amigo,Pacifico,Sinaloa Centro,Culiacán San Isidro,381000,296000,85000,40,5,7400,17000
