Sub,Zona,Sucursal,Coordinacion,Marca,Fecha de Corte,Calidad de Cartera H,Colocado PP H,Cartera H,Colocado Neto H,Colocado Neto al Corriente H,Mora H,Distribuidoras Totales H,Distribuidoras al Corriente H,Distribuidoras en Mora H,Clientes Totales H,Clientes al Corriente H,Clientes con H,Var Calidad,Var Colocado Neto,Var Colocado N al Corriente,Var Mora,Var Dist Tot,Var Dist Corriente,Var Dist en Mora,Var Clientes Tot,Var Clientes al Cte,Var H,Recup Calidad,Recup Mora,Recup Dv en Mora
Baja Sonora Norte,Baja Norte,Ensenada,Ensenada A,Vale Amigo,06/06/2026,61.65%,892256,7116460,8008716,4937368,3071348,94,55,39,1467,725,86,61.65%,8008716,4937368,3071348,94,55,39,1467,725,86,61.65%,3071348.13,39
Baja Sonora Norte,Baja Norte,Ensenada,Ensenada B,Vale Amigo,06/06/2026,50.63%,709470,3890687,4600157,2329164,2270993,102,53,49,929,396,,50.63%,4600157,2329164,2270993,102,53,49,929,396,,50.63%,2270992.66,49
Baja Sonora Norte,Baja Norte,Ensenada,Ensenada C,Vale Amigo,06/06/2026,57.67%,1168874,6255982,7424855,4281849,3143006,178,77,101,1521,753,22,57.67%,7424855,4281849,3143006,178,77,101,1521,753,22,57.67%,3143006.29,101
Baja Sonora Norte,Baja Norte,Rosarito,Rosarito A,Vale Amigo,06/06/2026,79.03%,897259,4084344,4981603,3936914,1044690,105,64,41,916,636,,79.03%,4981603,3936914,1044690,105,64,41,916,636,,79.03%,1044689.63,41
Baja Sonora Norte,Baja Norte,Rosarito,Rosarito B,Vale Amigo,06/06/2026,59.04%,866115,4450656,5316771,3139032,2177740,107,53,54,985,491,18,59.04%,5316771,3139032,2177740,107,53,54,985,491,18,59.04%,2177739.83,54
Baja Sonora Norte,Baja Norte,San Quintin,Ejecutivo San Quintin A,Vale Amigo,06/06/2026,100.00%,82437,917468,999905,999905,,21,21,,200,200,,100.00%,999905,999905,,21,21,,200,200,,100.00%,,
Baja Sonora Norte,Baja Norte,Tecate,Tecate A,Vale Amigo,06/06/2026,49.63%,680439,2858240,3538679,1756282,1782397,106,37,69,685,274,14,49.63%,3538679,1756282,1782397,106,37,69,685,274,14,49.63%,1782397.3,69
Baja Sonora Norte,Baja Norte,Tecate,Tecate B,Vale Amigo,06/06/2026,42.56%,679999,2840698,3520697,1498304,2022393,100,35,65,695,252,6,42.56%,3520697,1498304,2022393,100,35,65,695,252,6,42.56%,2022392.87,65
Baja Sonora Norte,Baja Norte,Tijuana,Tijuana A,Vale Amigo,06/06/2026,55.12%,827710,5975463,6803172,3750092,3053081,120,61,59,1351,630,44,55.12%,6803172,3750092,3053081,120,61,59,1351,630,44,55.12%,3053080.63,59
Baja Sonora Norte,Baja Norte,Tijuana,Tijuana B,Vale Amigo,06/06/2026,53.69%,759285,4894442,5653727,3035299,2618428,111,50,61,1161,542,4,53.69%,5653727,3035299,2618428,111,50,61,1161,542,4,53.69%,2618428.26,61
Baja Sonora Norte,Baja Norte,Tijuana,Tijuana C,Vale Amigo,06/06/2026,62.81%,960504,5446852,6407356,4024469,2382887,151,59,92,1310,656,64,62.81%,6407356,4024469,2382887,151,59,92,1310,656,64,62.81%,2382887.18,92
Baja Sonora Norte,Baja Norte,Tijuana 2,Tijuana 2 A,Vale Amigo,06/06/2026,61.35%,1072695,6931022,8003718,4910538,3093180,120,54,66,1532,796,8,61.35%,8003718,4910538,3093180,120,54,66,1532,796,8,61.35%,3093179.9,66
Baja Sonora Norte,Baja Norte,Tijuana 2,Tijuana 2 B,Vale Amigo,06/06/2026,41.58%,1062863,5976052,7038915,2926810,4112105,174,47,127,1568,495,2,41.58%,7038915,2926810,4112105,174,47,127,1568,495,2,41.58%,4112104.63,127
Baja Sonora Norte,Mexicali,Mexicali,Mexicali A,Vale Amigo,06/06/2026,54.73%,1436772,7838172,9274944,5076309,4198636,220,96,124,2012,926,27,54.73%,9274944,5076309,4198636,220,96,124,2012,926,27,54.73%,4198635.79,124
Baja Sonora Norte,Mexicali,Puerto Peñasco,Puerto Peñasco A,Vale Amigo,06/06/2026,54.67%,951476,4662636,5614112,3069303,2544809,166,78,88,1313,540,43,54.67%,5614112,3069303,2544809,166,78,88,1313,540,43,54.67%,2544809.09,88
Baja Sonora Norte,Mexicali,Puerto Peñasco,Puerto Peñasco B,Vale Amigo,06/06/2026,58.39%,842729,4856342,5699070,3327446,2371624,154,83,71,1300,623,14,58.39%,5699070,3327446,2371624,154,83,71,1300,623,14,58.39%,2371623.72,71
Baja Sonora Norte,Mexicali,San Luis Rio Colorado,San Luis Rio Colorado A,Vale Amigo,06/06/2026,79.85%,954288,5705891,6660179,5317928,1342251,134,101,33,1224,916,4,79.85%,6660179,5317928,1342251,134,101,33,1224,916,4,79.85%,1342251.31,33
Baja Sonora Norte,Mexicali,San Luis Rio Colorado,San Luis Rio Colorado B,Vale Amigo,06/06/2026,70.11%,916243,4723694,5639937,3954393,1685544,138,98,40,1117,677,44,70.11%,5639937,3954393,1685544,138,98,40,1117,677,44,70.11%,1685544.26,40
Baja Sonora Norte,Mexicali,San Luis Rio Colorado,San Luis Rio Colorado C,Vale Amigo,06/06/2026,61.13%,692244,4419041,5111286,3124538,1986748,117,70,47,1050,564,,61.13%,5111286,3124538,1986748,117,70,47,1050,564,,61.13%,1986747.55,47
Bajio,Digital Tecuala,Rosa Morada Digital,Ejecutivo Rosa Morada A,Vale Amigo,06/06/2026,96.40%,27159,273841,301000,290154,10846,14,13,1,91,89,,96.40%,301000,290154,10846,14,13,1,91,89,,96.40%,10846.3,1
Bajio,Digital Tecuala,Ruiz Digital,Ejecutivo Ruiz A,Vale Amigo,06/06/2026,74.75%,16100,334026,350126,261732,88394,12,8,4,88,63,,74.75%,350126,261732,88394,12,8,4,88,63,,74.75%,88393.55,4
Bajio,Digital Tecuala,Tecuala Digital,Ejecutivo Tecuala A,Vale Amigo,06/06/2026,68.45%,414860,1883429,2298289,1573226,725063,84,49,35,414,237,,68.45%,2298289,1573226,725063,84,49,35,414,237,,68.45%,725062.69,35
Bajio,Digital Tecuala,Tuxpan Nayarit Digital,Ejecutivo Tuxpan Nayarit A,Vale Amigo,06/06/2026,91.48%,15000,370110,385110,352310,32800,14,13,1,100,87,,91.48%,385110,352310,32800,14,13,1,100,87,,91.48%,32799.87,1
Bajio,Durango,Durango,Durango A,Vale Amigo,06/06/2026,79.60%,716891,4413614,5130505,4083950,1046555,131,99,32,1102,788,10,79.60%,5130505,4083950,1046555,131,99,32,1102,788,10,79.60%,1046555.09,32
Bajio,Durango,Durango,Durango B,Vale Amigo,06/06/2026,69.86%,599767,3616386,4216153,2945299,1270854,102,73,29,883,577,10,69.86%,4216153,2945299,1270854,102,73,29,883,577,10,69.86%,1270853.77,29
Bajio,Durango,Durango,Durango C,Vale Amigo,06/06/2026,68.17%,853892,5970817,6824709,4652441,2172268,157,106,51,1531,939,49,68.17%,6824709,4652441,2172268,157,106,51,1531,939,49,68.17%,2172268.22,51
Bajio,Durango,Durango,Durango D,Vale Amigo,06/06/2026,47.34%,670865,3966068,4636934,2195321,2441612,102,49,53,1035,349,60,47.34%,4636934,2195321,2441612,102,49,53,1035,349,60,47.34%,2441612.2,53
Bajio,Durango,Durango,Durango E,Vale Amigo,06/06/2026,45.99%,805414,4554543,5359957,2465288,2894669,137,59,78,1317,504,8,45.99%,5359957,2465288,2894669,137,59,78,1317,504,8,45.99%,2894668.74,78
Bajio,Durango,Durango,Durango F,Vale Amigo,06/06/2026,57.16%,394232,2468151,2862383,1636220,1226163,73,37,36,724,337,16,57.16%,2862383,1636220,1226163,73,37,36,724,337,16,57.16%,1226163.41,36
Bajio,Durango,El Salto,El Salto A,Vale Amigo,06/06/2026,66.52%,732137,4630827,5362964,3567615,1795348,147,100,47,1203,763,7,66.52%,5362964,3567615,1795348,147,100,47,1203,763,7,66.52%,1795348.36,47
Bajio,Durango,El Salto,El Salto B,Vale Amigo,06/06/2026,49.32%,874638,4334588,5209226,2569288,2639938,166,77,89,1300,586,12,49.32%,5209226,2569288,2639938,166,77,89,1300,586,12,49.32%,2639938.08,89
Bajio,Morelia,Celaya,Celaya A,Vale Amigo,06/06/2026,59.23%,839477,4998947,5838424,3458357,2380068,127,75,52,1291,630,47,59.23%,5838424,3458357,2380068,127,75,52,1291,630,47,59.23%,2380067.64,52
Bajio,Morelia,Celaya,Celaya B,Vale Amigo,06/06/2026,67.55%,933192,5552057,6485249,4381037,2104213,123,78,45,1316,768,40,67.55%,6485249,4381037,2104213,123,78,45,1316,768,40,67.55%,2104212.68,45
Bajio,Morelia,Celaya,Celaya C,Vale Amigo,06/06/2026,53.84%,741371,4479898,5221268,2811175,2410093,118,71,47,1210,596,7,53.84%,5221268,2811175,2410093,118,71,47,1210,596,7,53.84%,2410093.19,47
Bajio,Morelia,Celaya,Celaya D,Vale Amigo,06/06/2026,52.10%,619763,3788082,4407845,2296670,2111175,135,68,67,1037,428,31,52.10%,4407845,2296670,2111175,135,68,67,1037,428,31,52.10%,2111174.87,67
Bajio,Morelia,Celaya,Celaya E,Viva Vale,06/06/2026,67.57%,487032,2861845,3348876,2262804,1086072,78,52,26,727,362,110,67.57%,3348876,2262804,1086072,78,52,26,727,362,110,67.57%,1086072.29,26
Bajio,Morelia,Ejecutivo Patzcuaro,Ejecutivo Patzcuaro A,Vale Amigo,06/06/2026,100.00%,0,36000,36000,36000,,1,1,,4,4,,100.00%,36000,36000,,1,1,,4,4,,100.00%,,
Bajio,Morelia,Irapuato,Irapuato A,Vale Amigo,06/06/2026,62.17%,661650,3865533,4527183,2814675,1712508,94,49,45,980,458,35,62.17%,4527183,2814675,1712508,94,49,45,980,458,35,62.17%,1712508.25,45
Bajio,Morelia,Irapuato,Irapuato B,Vale Amigo,06/06/2026,38.05%,433684,3013688,3447372,1311570,2135802,71,20,51,805,236,23,38.05%,3447372,1311570,2135802,71,20,51,805,236,23,38.05%,2135801.88,51
Bajio,Morelia,Morelia,Morelia A,Vale Amigo,06/06/2026,60.69%,1223626,7800771,9024397,5477020,3547377,174,111,63,1824,971,48,60.69%,9024397,5477020,3547377,174,111,63,1824,971,48,60.69%,3547376.84,63
Bajio,Morelia,Morelia,Morelia B,Vale Amigo,06/06/2026,66.77%,1082209,6268650,7350859,4908112,2442747,153,96,57,1512,813,162,66.77%,7350859,4908112,2442747,153,96,57,1512,813,162,66.77%,2442747.01,57
Bajio,Morelia,Morelia,Morelia C,Vale Amigo,06/06/2026,60.52%,759692,5496181,6255874,3786162,2469712,134,67,67,1356,680,57,60.52%,6255874,3786162,2469712,134,67,67,1356,680,57,60.52%,2469711.66,67
Bajio,Morelia,Morelia,Morelia D,Viva Vale,06/06/2026,69.97%,597769,3858158,4455927,3117795,1338132,99,73,26,937,556,103,69.97%,4455927,3117795,1338132,99,73,26,937,556,103,69.97%,1338131.95,26
Bajio,Morelia,Morelia,Morelia E,Viva Vale,06/06/2026,69.94%,473602,3260896,3734498,2612061,1122437,82,52,30,821,532,22,69.94%,3734498,2612061,1122437,82,52,30,821,532,22,69.94%,1122437.36,30
Bajio,Morelia,Uruapan,Uruapan A,Vale Amigo,06/06/2026,70.64%,688834,3291779,3980613,2812030,1168583,87,60,27,764,484,16,70.64%,3980613,2812030,1168583,87,60,27,764,484,16,70.64%,1168583.15,27
Bajio,Morelia,Uruapan,Uruapan B,Vale Amigo,06/06/2026,76.19%,782819,4273131,5055950,3852042,1203908,101,75,26,943,605,29,76.19%,5055950,3852042,1203908,101,75,26,943,605,29,76.19%,1203908.21,26
Bajio,Morelia,Uruapan,Uruapan C,Vale Amigo,06/06/2026,74.84%,544896,2934142,3479038,2603649,875389,97,67,30,713,478,12,74.84%,3479038,2603649,875389,97,67,30,713,478,12,74.84%,875388.81,30
