Cartera,Subdirección,Zona,Sucursal,Corte,Plazo,Suma de Monto,Capital,Interes,Total,Tasa de Ganancia,Vales
Vale Amigo,Baja Sonora Norte,Baja Norte,Ensenada,07/04/2026,6,91000,91000,18345,109345,20.16%,12
Vale Amigo,Baja Sonora Norte,Baja Norte,Rosarito,07/04/2026,6,125000,125000,26250,151250,21.00%,17
Vale Amigo,Baja Sonora Norte,Baja Norte,San Quintin,07/04/2026,6,24000,24000,5040,29040,21.00%,3
Vale Amigo,Baja Sonora Norte,Baja Norte,Tecate,07/04/2026,6,120000,120000,24150,144150,20.13%,13
Vale Amigo,Baja Sonora Norte,Baja Norte,Tijuana,07/04/2026,6,162000,162000,33435,195435,20.64%,21
Vale Amigo,Baja Sonora Norte,Baja Norte,Tijuana 2,07/04/2026,6,154000,154000,31560,185560,20.49%,20
Vale Amigo,Baja Sonora Norte,Mexicali,Mexicali,07/04/2026,6,61000,61000,12810,73810,21.00%,7
Vale Amigo,Baja Sonora Norte,Mexicali,Puerto Peñasco,07/04/2026,6,151000,151000,31710,182710,21.00%,19
Vale Amigo,Baja Sonora Norte,Mexicali,San Luis Rio Colorado,07/04/2026,6,152000,152000,31740,183740,20.88%,18
Vale Amigo,Bajio,Digital Tecuala,Tecuala Digital,07/04/2026,6,45000,45000,9450,54450,21.00%,6
Vale Amigo,Bajio,Durango,Durango,07/04/2026,6,265000,265000,54690,319690,20.64%,34
Vale Amigo,Bajio,Durango,El Salto,07/04/2026,6,263000,263000,53910,316910,20.50%,29
Vale Amigo,Bajio,Morelia,Celaya,07/04/2026,6,237000,237000,47460,284460,20.03%,30
Vale Amigo,Bajio,Morelia,Irapuato,07/04/2026,6,90000,90000,18900,108900,21.00%,11
Vale Amigo,Bajio,Morelia,Morelia,07/04/2026,6,293000,293000,60390,353390,20.61%,36
Vale Amigo,Bajio,Morelia,Uruapan,07/04/2026,6,180000,180000,36780,216780,20.43%,25
Vale Amigo,Bajio,Santiago Papasquiaro Digital,Santiago Papasquiaro Digital,07/04/2026,6,31000,31000,6210,37210,20.03%,4
Vale Amigo,Bajio,Sinaloa Sur 2,Acaponeta,07/04/2026,6,139000,139000,28470,167470,20.48%,15
Vale Amigo,Bajio,Sinaloa Sur 2,Escuinapa,07/04/2026,6,268000,268000,55410,323410,20.68%,37
Vale Amigo,Bajio,Sinaloa Sur 2,Santiago Ixcuintla,07/04/2026,6,83000,83000,17430,100430,21.00%,12
Vale Amigo,Bajio,Tepic,Compostela,07/04/2026,6,72000,72000,14820,86820,20.58%,9
Vale Amigo,Bajio,Tepic,Mezcales,07/04/2026,6,129000,129000,27090,156090,21.00%,16
Vale Amigo,Bajio,Tepic,Tepic,07/04/2026,6,162000,162000,33780,195780,20.85%,20
Vale Amigo,Bajio,Tepic,Vallarta,07/04/2026,6,142000,142000,28860,170860,20.32%,16
Vale Amigo,Bajio,Zacatecas,Fresnillo,07/04/2026,6,97000,97000,20370,117370,21.00%,13
Vale Amigo,Bajio,Zacatecas,Jerez,07/04/2026,6,115000,115000,23790,138790,20.69%,13
Vale Amigo,Bajio,Zacatecas,Rio Grande,07/04/2026,6,402000,402000,82530,484530,20.53%,59
Vale Amigo,Bajio,Zacatecas,Zacatecas,07/04/2026,6,192000,192000,40320,232320,21.00%,25
Vale Amigo,CERRADA,CERRADA,CERRADA,07/04/2026,6,48000,48000,10080,58080,21.00%,6
Vale Amigo,Chihuahua,Chihuahua Centro,Chihuahua Centro,07/04/2026,6,211000,211000,43560,254560,20.64%,26
Vale Amigo,Chihuahua,Chihuahua Centro,Cuauhtemoc,07/04/2026,6,220000,220000,45720,265720,20.78%,27
Vale Amigo,Chihuahua,Chihuahua Centro,Parral,07/04/2026,6,281000,281000,58380,339380,20.78%,35
Vale Amigo,Chihuahua,Chihuahua Norte,Casas Grandes,07/04/2026,6,97000,97000,19320,116320,19.92%,11
Vale Amigo,Chihuahua,Chihuahua Norte,Cd. Juárez,07/04/2026,6,241000,241000,49380,290380,20.49%,29
Vale Amigo,Chihuahua,Chihuahua Norte,Cd. Juárez 2,07/04/2026,6,128000,128000,26880,154880,21.00%,16
Vale Amigo,Chihuahua,Chihuahua Sur,Camargo,07/04/2026,6,72000,72000,14490,86490,20.13%,8
Vale Amigo,Chihuahua,Chihuahua Sur,Delicias,07/04/2026,6,104000,104000,21540,125540,20.71%,12
Vale Amigo,Chihuahua,Chihuahua Sur,Jimenez,07/04/2026,6,6000,6000,1260,7260,21.00%,1
Vale Amigo,Chihuahua,Chihuahua Sur,Meoqui,07/04/2026,6,77000,77000,15165,92165,19.69%,12
Vale Amigo,Digital Suroeste,Digital Chiapas,Comitan Digital,07/04/2026,6,34000,34000,7140,41140,21.00%,4
Vale Amigo,Digital Suroeste,Digital Chiapas,Tonala Digital,07/04/2026,6,16000,16000,3120,19120,19.50%,2
Vale Amigo,Digital Suroeste,Digital Guerrero,Acapulco Digital,07/04/2026,6,16000,16000,3360,19360,21.00%,2
Vale Amigo,Digital Suroeste,Digital Guerrero,Chilpancingo Digital,07/04/2026,6,8000,8000,1680,9680,21.00%,1
Vale Amigo,Digital Suroeste,Digital Guerrero,Coyuca de Benitez Digital,07/04/2026,6,56000,56000,11760,67760,21.00%,7
Vale Amigo,Digital Suroeste,Digital Oaxaca,Ixtepec Digital,07/04/2026,6,26000,26000,5160,31160,19.85%,3
Vale Amigo,Digital Suroeste,Digital Oaxaca,Juchitan Digital,07/04/2026,6,20000,20000,3660,23660,18.30%,3
Vale Amigo,Digital Suroeste,Digital Oaxaca,Matias Romero Digital,07/04/2026,6,259000,259000,49755,308755,19.21%,31
Vale Amigo,Digital Suroeste,Digital Oaxaca,Tehuantepec Digital,07/04/2026,6,32000,32000,6720,38720,21.00%,4
Vale Amigo,Digital Suroeste,Digital Oaxaca Costa,Pinotepa Nacional Digital,07/04/2026,6,16000,16000,3360,19360,21.00%,2
Vale Amigo,Noreste,Coahuila,Guadalupe Victoria,07/04/2026,6,62000,62000,13020,75020,21.00%,8
Vale Amigo,Noreste,Coahuila,Parras,07/04/2026,6,13000,13000,2730,15730,21.00%,2
Vale Amigo,Noreste,Coahuila,San Pedro,07/04/2026,6,18000,18000,3030,21030,16.83%,2
Vale Amigo,Noreste,Coahuila Norte,Acuña,07/04/2026,6,162000,162000,33780,195780,20.85%,21
Vale Amigo,Noreste,Coahuila Norte,Monclova,07/04/2026,6,119000,119000,24750,143750,20.80%,16
Vale Amigo,Noreste,Coahuila Norte,Piedras Negras,07/04/2026,6,98000,98000,19860,117860,20.27%,12
Vale Amigo,Noreste,Digital San Luis,Cd Victoria Digital,07/04/2026,6,26000,26000,5160,31160,19.85%,3
Vale Amigo,Noreste,Digital San Luis,San Luis Potosi Digital,07/04/2026,6,52000,52000,10200,62200,19.62%,6
Vale Amigo,Noreste,Saltillo/Nuevo Leon,Cadereyta,07/04/2026,6,180000,180000,37800,217800,21.00%,27
